round,sentence,opt0,opt1,opt2,opt3,correct
1,We ___ dinner when the phone rang.,ate,were having,have eaten,are having,1
1,She is interested ___ learning new skills.,at,on,in,for,2
1,I don't have ___ money in my pocket.,many,any,some,no,1
1,The movie was so ___ that I fell asleep.,boring,bored,bore,bores,0
1,He ___ to London twice this year.,was,went,has been,is going,2
1,You ___ smoke in the hospital.,mustn't,don't have to,couldn't,needn't,0
1,This is the ___ building in the city.,high,higher,highest,most high,2
1,I'll call you as soon as I ___.,arrive,will arrive,arrived,arriving,0
1,That is the man ___ car was stolen.,who,which,whose,whom,2
1,"Despite ___ hard, he failed the exam.",working,he worked,work,to work,0
2,"If it ___ tomorrow, we will stay at home.",rain,rains,will rain,rained,1
2,I've been waiting here ___ 8 o'clock.,for,since,during,from,1
2,My brother ___ play football every Sunday.,likes to,like to,is liking,like,0
2,The project ___ by the end of next month.,finishes,will finish,will be finished,is finishing,2
2,I can't find my keys ___.,anywhere,somewhere,nowhere,everywhere,0
2,This coffee is ___ hot to drink.,so,too,very,enough,1
2,She asked me where ___ from.,do I come,I came,did I come,am I coming,1
2,I suggest ___ a break for ten minutes.,taking,to take,take,takes,0
2,___ you ever visited New York?,Do,Did,Have,Were,2
2,"By the time he arrived, the meeting ___.",started,has started,had started,starts,2
3,You should avoid ___ too much coffee.,to drink,drink,drinking,drinks,2
3,I'm not used to ___ up so early.,get,getting,got,have got,1
3,The house ___ in 1920.,was built,built,has built,is building,0
3,I'll go to the party unless I ___ too tired.,will be,am,would be,was,1
3,There isn't ___ milk left in the fridge.,many,some,no,any,3
3,He is much ___ than his older brother.,taller,tall,tallest,more tall,0
3,Could you tell me where the station ___?,is,is it,it is,does it,0
3,We have lived here ___ five years.,since,for,during,ago,1
3,I forgot ___ the front door this morning.,to lock,locking,lock,locked,0
3,She speaks English very ___.,good,well,nice,fluent,1
,Neither of my friends ___ the answer.,know,knows,knowing,are knowing,1
4,I wish I ___ a faster car.,have,had,will have,am having,1
4,Look! The bus ___.,comes,is coming,come,has come,1
4,They decided ___ a new house next year.,to buy,buying,buy,bought,0
4,You ___ better see a doctor.,had,would,should,must,0
4,The suitcase is ___ heavy for me to carry.,so,too,enough,very,1
4,Who does this pen belong ___?,at,for,to,with,2
4,I ___ my homework when you called.,was doing,did,have done,do,0
4,This is the ___ film I have ever seen.,worst,badder,baddest,worse,0
