round,ru,correct,chips
1,Я вчера ходил в кино.,I went to the cinema yesterday,"cinema,yesterday,I,to,the,went"
1,Она сейчас читает книгу.,She is reading a book now,"reading,a,is,now,She,book"
1,Где ты живешь?,Where do you live,"you,live,Where,do"
1,У меня нет свободного времени.,I don't have any free time,"have,any,time,I,free,don't"
1,Этот фильм был очень скучным.,This movie was very boring,"movie,boring,very,was,This"
1,Мы завтракаем в 8 утра.,We have breakfast at 8 am,"breakfast,have,am,We,at,8"
1,Ты можешь мне помочь?,Can you help me,"help,you,me,Can"
1,В холодильнике есть немного молока.,There is some milk in the fridge,"milk,some,fridge,There,is,in,the"
1,Он говорит по-английски хорошо.,He speaks English well,"English,speaks,well,He"
1,Я никогда не был в Париже.,I have never been to Paris,"been,Paris,never,to,I,have"
2,"Если пойдет дождь, мы останемся дома.",If it rains we will stay home,"stay,will,rains,it,home,If,we"
2,Я жду тебя уже два часа.,I have been waiting for you for two hours,"for,been,waiting,two,I,hours,have,you"
2,Тебе следует бросить курить.,You should give up smoking,"up,smoking,should,give,You"
2,Книга была написана моим другом.,The book was written by my friend,"written,was,book,The,friend,by,my"
2,"Я не знаю, как это решить.",I don't know how to solve this,"solve,how,know,don't,I,to,this"
2,"Она слишком молода, чтобы водить машину.",She is too young to drive a car,"young,too,drive,to,is,She,a,car"
2,Мы закончим проект к пятнице.,We will finish the project by Friday,"finish,project,by,Friday,the,will,We"
2,Ты когда-нибудь видел слона?,Have you ever seen an elephant,"ever,Have,elephant,seen,you,an"
2,"Чем больше ты учишься, тем больше знаешь.",The more you study the more you know,"you,more,study,The,know,the,more"
2,Я привык рано вставать.,I am used to getting up early,"used,getting,to,up,I,am,early"
3,"Я бы пошел, если бы у меня были деньги.",I would go if I had money,"had,I,go,if,money,would"
3,"Это самый вкусный кофе, который я пил.",This is the best coffee I have ever had,"had,best,ever,I,the,This,coffee,is,have"
3,"Позвони мне, как только придешь домой.",Call me as soon as you get home,"home,soon,Call,as,get,me,you,as"
3,Ты не должен здесь парковаться.,You must not park here,"must,here,not,You,park"
3,"Фильм был таким интересным, что я посмотрел его дважды.",The movie was so interesting that I watched it twice,"that,so,movie,interesting,it,The,twice,was,I,watched"
3,Я с нетерпением жду встречи с тобой.,I am looking forward to meeting you,"to,looking,am,forward,meeting,I,you"
3,"Ты знаешь, где находится банк?",Do you know where the bank is,"know,is,bank,Do,the,where,you"
3,"Было очень холодно, поэтому мы остались дома.",It was very cold so we stayed home,"very,stayed,It,home,cold,was,so,we"
3,Кем была написана эта картина?,Who was this painting written by,"was,by,painting,Who,written,this"
3,"Мне нужно время, чтобы подумать.",I need some time to think,"time,to,need,some,I,think"
4,Мы знакомы уже десять лет.,We have known each other for ten years,"each,known,for,We,ten,other,have,years"
4,Я забыл закрыть окно утром.,I forgot to close the window this morning,"to,morning,I,close,forgot,window,this,the"
4,"Он слишком занят, чтобы разговаривать.",He is too busy to talk,"talk,busy,is,to,He,too"
4,"Она спросила меня, где я живу.",She asked me where I live,"where,She,me,live,asked,I"
4,Вчера весь день шел дождь.,It was raining all day yesterday,"all,day,was,raining,It,yesterday"
4,Твой английский становится лучше с каждым днем.,Your English is getting better every day,"English,better,every,is,Your,day,getting"
4,Я не могу найти свои ключи нигде.,I cannot find my keys anywhere,"keys,find,anywhere,cannot,I,my"
4,"Ты не против, если я открою дверь?",Do you mind if I open the door,"if,mind,I,the,Do,open,door,you"
4,"Это дом, в котором я родился.",This is the house where I was born,"where,house,is,born,the,This,was,I"
4,Нам пришлось отменить встречу.,We had to cancel the meeting,"meeting,to,had,cancel,the,We"
5,"Чем скорее мы закончим, тем лучше.",The sooner we finish the better,"finish,The,better,the,sooner,we"
5,Я не привык работать по ночам.,I am not used to working at night,"working,not,night,to,at,used,I,am"
5,Тебе не обязательно приходить вовремя.,You do not have to come on time,"have,to,on,not,do,time,You,come"
5,"Где ты был, когда я звонил?",Where were you when I called,"called,you,were,when,I,Where"
5,Он работает здесь с прошлого года.,He has been working here since last year,"year,last,here,been,has,since,He,working"
5,"Это самый высокий человек, которого я видел.",This is the tallest man I have ever seen,"man,I,seen,the,ever,is,This,tallest,have"
5,"Я не знаю, придет ли она сегодня.",I do not know if she will come today,"will,come,if,know,I,today,she,do,not"
5,Ты можешь одолжить мне свой телефон?,Can you lend me your phone,"phone,lend,me,your,you,Can"
5,"Книга интереснее, чем фильм.",The book is more interesting than the movie,"interesting,movie,than,is,book,more,The,the"
5,Я бы хотел заказать чашку кофе.,I would like to order a cup of coffee,"like,a,order,coffee,of,cup,to,I,would"
6,Она всегда забывает свои ключи дома.,She always forgets her keys at home,"home,keys,forgets,always,at,her,She"
6,Мы планируем поехать в отпуск в июле.,We are planning to go on holiday in July,"July,on,planning,to,in,are,holiday,go,We"
6,"Это именно то, что мне нужно.",This is exactly what I need,"what,exactly,I,is,need,This"
6,Я не видел его в течение долгого времени.,I have not seen him for a long time,"long,seen,not,a,have,him,I,time,for"
6,Тебе лучше не опаздывать завтра.,You had better not be late tomorrow,"be,had,better,not,tomorrow,late,You"
6,"Если бы у меня была машина, я бы поехал к морю.",If I had a car I would go to the sea,"go,the,a,had,to,I,car,would,If,sea"
6,"Ты знаешь, как добраться до центра города?",Do you know how to get to the city center,"get,know,how,Do,the,center,you,to,city"
6,Мой брат старше меня на три года.,My brother is three years older than me,"older,brother,is,three,My,me,than,years"
6,"Я надеюсь, что погода будет хорошей.",I hope the weather will be good,"weather,will,be,hope,good,I,the"
6,Она перестала курить два года назад.,She stopped smoking two years ago,"smoking,stopped,years,ago,two,She"
7,"Я не могу прийти, потому что я работаю.",I cannot come because I am working,"because,I,working,am,cannot,come"
7,Кто-то украл мой кошелек в автобусе.,Somebody stole my wallet on the bus,"stolen,on,stole,bus,my,wallet,Somebody,the"
7,Ты должен закончить это до пяти часов.,You must finish this by five o'clock,"finish,five,by,must,You,this,o'clock"
7,"Чем больше ты практикуешься, тем лучше результат.",The more you practice the better the result,"practice,better,the,more,The,result,you,the"
7,Я ждал автобус полчаса.,I waited for the bus for half an hour,"hour,half,waited,for,bus,the,an,I,for"
7,"Она спросила, может ли она войти.",She asked if she could come in,"could,asked,in,if,She,come,she"
7,Это самый дорогой ресторан в городе.,This is the most expensive restaurant in town,"expensive,most,is,town,the,in,This,restaurant"
7,"Мне кажется, что это плохая идея.",I think that it is a bad idea,"bad,idea,a,think,is,it,I,that"
7,Тебе нужно больше спать.,You need to sleep more,"sleep,to,more,need,You"
7,Вчера вечером мы смотрели телевизор.,We were watching TV yesterday evening,"watching,yesterday,TV,We,evening,were"
8,"Если я найду твои ключи, я тебе позвоню.",If I find your keys I will call you,"keys,find,call,your,will,If,I,you"
8,Ты когда-нибудь пробовал китайскую еду?,Have you ever tried Chinese food,"ever,Have,tried,food,you,Chinese"
8,Потолок красят прямо сейчас.,The ceiling is being painted right now,"painted,is,now,The,ceiling,right,being"
8,Я предпочел бы остаться дома сегодня.,I would rather stay home today,"stay,rather,today,I,home,would"
8,"Это человек, который мне помог.",This is the man who helped me,"helped,is,the,who,This,man,me"
8,Не забудь выключить свет.,Do not forget to turn off the light,"off,forget,light,to,the,turn,Do,not"
8,"Он был так занят, что забыл поесть.",He was so busy that he forgot to eat,"busy,so,ate,forgot,to,that,He,was,eat"
8,Я никогда не слышал об этом раньше.,I have never heard of this before,"before,this,heard,never,of,have,I"
8,Мой отец работает врачом в больнице.,My father works as a doctor in a hospital,"hospital,doctor,works,a,in,a,father,My,as"
8,Нам не нужно покупать билеты заранее.,We do not need to buy tickets in advance,"advance,need,to,tickets,in,do,We,buy,not"
9,Она работает здесь уже пять лет.,She has been working here for five years,"five,been,here,working,for,has,She,years"
9,"Я бы хотел знать, почему ты опоздал.",I would like to know why you were late,"were,know,like,I,why,late,you,to,would"
9,"Это самая интересная книга, которую я когда-либо читал.",This is the most interesting book I have ever read,"read,ever,most,interesting,I,the,This,book,is,have"
9,Тебе не следует беспокоиться об этом.,You should not worry about it,"worry,about,not,it,should,You"
9,"Мы решили пойти пешком вместо того, чтобы ехать на автобусе.",We decided to walk instead of taking a bus,"taking,decided,instead,walk,a,to,of,bus,We"
9,"Если бы я знал об этом, я бы помог тебе.",If I had known about it I would have helped you,"helped,If,would,have,known,I,about,it,had,you"
9,"Он спросил меня, умею ли я плавать.",He asked me if I could swim,"swim,me,asked,could,if,I,He"
9,Машина была отремонтирована моим братом на прошлой неделе.,The car was repaired by my brother last week,"repaired,by,week,car,The,brother,last,my,was"
9,Я с нетерпением жду начала отпуска.,I am looking forward to starting my holiday,"starting,forward,my,holiday,am,to,looking,I"
9,"Там было слишком много людей, чтобы войти.",There were too many people to go in,"in,to,people,were,many,too,go,There"
10,Я никогда не привыкну к такой холодной погоде.,I will never get used to such cold weather,"such,get,used,weather,never,to,I,will,cold"
10,"Можешь сказать мне, который час?",Can you tell me what time it is,"time,me,tell,is,what,it,you,Can"
10,"Мы не виделись с тех пор, как закончили школу.",We have not seen each other since we finished school,"finished,not,other,seen,each,since,We,school,have,we"
10,"Это именно тот результат, которого мы ожидали.",This is exactly the result we were expecting,"result,exactly,were,expecting,the,is,This,we"
10,Тебе лучше не говорить ему правду сейчас.,You had better not tell him the truth now,"better,him,truth,not,tell,the,now,had,You"
10,"Несмотря на дождь, мы пошли на прогулку.",Despite the rain we went for a walk,"rain,for,a,went,walk,the,Despite,we"
10,"Я забыл, куда я положил свои ключи.",I forgot where I put my keys,"keys,where,I,forgot,my,put"
10,"Он единственный человек, который знает секрет.",He is the only person who knows the secret,"knows,only,person,is,secret,the,the,who,He"
10,Нам пришлось ждать в очереди два часа.,We had to wait in line for two hours,"hours,to,wait,in,had,line,for,two,We"
10,Я собираюсь купить новый ноутбук в следующем месяце.,I am going to buy a new laptop next month,"laptop,going,new,buy,month,next,I,am,a"
